Calibration metrics:
x96: Cal. error 0.1330, RMSE 0.4849, R2 -7.8142
x97: Cal. error 0.1440, RMSE 0.5188, R2 -9.0229
x98: Cal. error 0.1540, RMSE 0.5607, R2 -10.6092
x99: Cal. error 0.1550, RMSE 0.6000, R2 -12.1600
x100: Cal. error 0.1590, RMSE 0.6191, R2 -12.9709
x101: Cal. error 0.1590, RMSE 0.6182, R2 -13.0647
x102: Cal. error 0.1570, RMSE 0.6018, R2 -12.1929
x103: Cal. error 0.1480, RMSE 0.5835, R2 -11.2217
x104: Cal. error 0.1400, RMSE 0.5587, R2 -10.1810
x105: Cal. error 0.1390, RMSE 0.5480, R2 -9.7231
x106: Cal. error 0.1350, RMSE 0.5530, R2 -9.8292
x107: Cal. error 0.1400, RMSE 0.5772, R2 -10.7164
x108: Cal. error 0.1420, RMSE 0.5999, R2 -11.5747
x109: Cal. error 0.1480, RMSE 0.6133, R2 -12.1506
x110: Cal. error 0.1470, RMSE 0.5922, R2 -11.2597
x111: Cal. error 0.1410, RMSE 0.5623, R2 -10.0754
x112: Cal. error 0.1310, RMSE 0.5225, R2 -8.6698
x113: Cal. error 0.1110, RMSE 0.4894, R2 -7.5682
x114: Cal. error 0.0890, RMSE 0.4395, R2 -5.9650
x115: Cal. error 0.0670, RMSE 0.4080, R2 -5.0489
x116: Cal. error 0.2160, RMSE 0.4090, R2 -5.1540
x117: Cal. error 0.3970, RMSE 0.4088, R2 -5.1960
x118: Cal. error 0.4840, RMSE 0.4055, R2 -5.1136
x119: Cal. error 0.5050, RMSE 0.3957, R2 -4.8364
x120: Cal. error 0.5050, RMSE 0.4092, R2 -5.2427
x121: Cal. error 0.5020, RMSE 0.4203, R2 -5.5932
x122: Cal. error 0.4990, RMSE 0.4182, R2 -5.4938
x123: Cal. error 0.4970, RMSE 0.3957, R2 -4.7784
x124: Cal. error 0.4970, RMSE 0.3896, R2 -4.5569
x125: Cal. error 0.4940, RMSE 0.3848, R2 -4.3738
x126: Cal. error 0.4940, RMSE 0.3620, R2 -3.7217
x127: Cal. error 0.4910, RMSE 0.3408, R2 -3.1474
x128: Cal. error 0.2570, RMSE 0.3290, R2 -2.4271
x129: Cal. error 0.2850, RMSE 0.3989, R2 -3.7740
x130: Cal. error 0.3030, RMSE 0.4764, R2 -5.3115
x131: Cal. error 0.3050, RMSE 0.5606, R2 -7.5613
x132: Cal. error 0.3150, RMSE 0.6214, R2 -9.2389
x133: Cal. error 0.3120, RMSE 0.6879, R2 -11.3419
x134: Cal. error 0.3150, RMSE 0.7270, R2 -12.3976
x135: Cal. error 0.3150, RMSE 0.7574, R2 -13.2301
x136: Cal. error 0.3150, RMSE 0.7493, R2 -13.5184
x137: Cal. error 0.3250, RMSE 0.7425, R2 -13.5378
x138: Cal. error 0.3250, RMSE 0.7292, R2 -13.2706
x139: Cal. error 0.3250, RMSE 0.7017, R2 -12.5448
x140: Cal. error 0.3250, RMSE 0.6673, R2 -11.9234
x141: Cal. error 0.3250, RMSE 0.6291, R2 -11.2210
x142: Cal. error 0.3150, RMSE 0.6010, R2 -10.7423
x143: Cal. error 0.3150, RMSE 0.5651, R2 -9.8004
x144: Cal. error 0.3050, RMSE 0.5252, R2 -8.6574
x145: Cal. error 0.2990, RMSE 0.4721, R2 -7.0402
x146: Cal. error 0.2880, RMSE 0.4236, R2 -5.6491
x147: Cal. error 0.2650, RMSE 0.3770, R2 -4.3574
x148: Cal. error 0.2250, RMSE 0.3412, R2 -3.4584
x149: Cal. error 0.1490, RMSE 0.3178, R2 -2.8776
x150: Cal. error 0.0840, RMSE 0.2805, R2 -1.9861
x151: Cal. error 0.4800, RMSE 0.2378, R2 -1.1667
x152: Cal. error 0.3020, RMSE 0.2124, R2 -0.7966
x153: Cal. error 0.1010, RMSE 0.2440, R2 -1.3834
x154: Cal. error 0.2150, RMSE 0.2562, R2 -1.5561
x155: Cal. error 0.2720, RMSE 0.2744, R2 -1.7971
x156: Cal. error 0.3050, RMSE 0.3023, R2 -2.1264
x157: Cal. error 0.3180, RMSE 0.3482, R2 -2.7098
x158: Cal. error 0.3290, RMSE 0.3902, R2 -3.2273
x159: Cal. error 0.3350, RMSE 0.4019, R2 -3.8971
x160: Cal. error 0.3350, RMSE 0.4083, R2 -4.4656
