Calibration metrics:
x0: Cal. error 0.4730, RMSE 0.2526, R2 -1.2461
x1: Cal. error 0.4610, RMSE 0.2648, R2 -1.4450
x2: Cal. error 0.4640, RMSE 0.3006, R2 -2.1345
x3: Cal. error 0.4660, RMSE 0.3195, R2 -2.5086
x4: Cal. error 0.4750, RMSE 0.3373, R2 -2.8945
x5: Cal. error 0.4750, RMSE 0.3423, R2 -3.0108
x6: Cal. error 0.4720, RMSE 0.3458, R2 -3.0951
x7: Cal. error 0.4700, RMSE 0.3379, R2 -2.9196
x8: Cal. error 0.4710, RMSE 0.3355, R2 -2.8777
x9: Cal. error 0.4620, RMSE 0.3243, R2 -2.6584
x10: Cal. error 0.4540, RMSE 0.3193, R2 -2.5857
x11: Cal. error 0.4470, RMSE 0.3125, R2 -2.4744
x12: Cal. error 0.4470, RMSE 0.3136, R2 -2.5508
x13: Cal. error 0.4430, RMSE 0.3127, R2 -2.5799
x14: Cal. error 0.4420, RMSE 0.3202, R2 -2.8063
x15: Cal. error 0.4460, RMSE 0.3231, R2 -2.9297
x16: Cal. error 0.4440, RMSE 0.3300, R2 -3.1583
x17: Cal. error 0.4420, RMSE 0.3272, R2 -3.1371
x18: Cal. error 0.4330, RMSE 0.3293, R2 -3.2340
x19: Cal. error 0.4310, RMSE 0.3280, R2 -3.2329
x20: Cal. error 0.4350, RMSE 0.3336, R2 -3.4100
x21: Cal. error 0.4360, RMSE 0.3328, R2 -3.3998
x22: Cal. error 0.4310, RMSE 0.3379, R2 -3.5462
x23: Cal. error 0.4400, RMSE 0.3362, R2 -3.5008
x24: Cal. error 0.4420, RMSE 0.3392, R2 -3.5673
x25: Cal. error 0.4430, RMSE 0.3325, R2 -3.3769
x26: Cal. error 0.4500, RMSE 0.3306, R2 -3.2978
x27: Cal. error 0.4500, RMSE 0.3230, R2 -3.0784
x28: Cal. error 0.4490, RMSE 0.3219, R2 -3.0134
x29: Cal. error 0.4500, RMSE 0.3147, R2 -2.7998
x30: Cal. error 0.4470, RMSE 0.3145, R2 -2.7652
x31: Cal. error 0.4490, RMSE 0.3112, R2 -2.6623
x32: Cal. error 0.4550, RMSE 0.3150, R2 -2.7107
x33: Cal. error 0.4600, RMSE 0.3114, R2 -2.6028
x34: Cal. error 0.4600, RMSE 0.3141, R2 -2.6361
x35: Cal. error 0.4470, RMSE 0.3146, R2 -2.6114
x36: Cal. error 0.4420, RMSE 0.3200, R2 -2.7243
x37: Cal. error 0.4320, RMSE 0.3156, R2 -2.6583
x38: Cal. error 0.4260, RMSE 0.3213, R2 -2.7516
x39: Cal. error 0.4210, RMSE 0.3246, R2 -2.7752
x40: Cal. error 0.4310, RMSE 0.3327, R2 -2.9570
x41: Cal. error 0.4420, RMSE 0.3358, R2 -3.0170
x42: Cal. error 0.4420, RMSE 0.3476, R2 -3.2683
x43: Cal. error 0.4440, RMSE 0.3565, R2 -3.4579
x44: Cal. error 0.4440, RMSE 0.3739, R2 -3.8713
x45: Cal. error 0.4470, RMSE 0.3807, R2 -4.0521
x46: Cal. error 0.4570, RMSE 0.3935, R2 -4.3986
