Calibration metrics:
x96: Cal. error 0.4390, RMSE 0.3225, R2 -2.8991
x97: Cal. error 0.4390, RMSE 0.3348, R2 -3.1746
x98: Cal. error 0.4430, RMSE 0.3379, R2 -3.2148
x99: Cal. error 0.4420, RMSE 0.3443, R2 -3.3332
x100: Cal. error 0.4380, RMSE 0.3456, R2 -3.3538
x101: Cal. error 0.4460, RMSE 0.3517, R2 -3.5507
x102: Cal. error 0.4500, RMSE 0.3555, R2 -3.6026
x103: Cal. error 0.4470, RMSE 0.3658, R2 -3.8050
x104: Cal. error 0.4550, RMSE 0.3648, R2 -3.7665
x105: Cal. error 0.4550, RMSE 0.3704, R2 -3.8973
x106: Cal. error 0.4610, RMSE 0.3661, R2 -3.7477
x107: Cal. error 0.4530, RMSE 0.3640, R2 -3.6593
x108: Cal. error 0.4610, RMSE 0.3530, R2 -3.3539
x109: Cal. error 0.4530, RMSE 0.3504, R2 -3.2913
x110: Cal. error 0.4440, RMSE 0.3426, R2 -3.1023
x111: Cal. error 0.4360, RMSE 0.3415, R2 -3.0858
x112: Cal. error 0.4390, RMSE 0.3297, R2 -2.8510
x113: Cal. error 0.4440, RMSE 0.3253, R2 -2.7864
x114: Cal. error 0.4430, RMSE 0.3125, R2 -2.5208
x115: Cal. error 0.4510, RMSE 0.3065, R2 -2.4122
x116: Cal. error 0.4400, RMSE 0.2954, R2 -2.2100
x117: Cal. error 0.4390, RMSE 0.2948, R2 -2.2217
x118: Cal. error 0.4260, RMSE 0.2903, R2 -2.1331
x119: Cal. error 0.4220, RMSE 0.2895, R2 -2.1243
x120: Cal. error 0.4170, RMSE 0.2825, R2 -1.9763
x121: Cal. error 0.4060, RMSE 0.2840, R2 -2.0107
x122: Cal. error 0.4000, RMSE 0.2762, R2 -1.8338
x123: Cal. error 0.3920, RMSE 0.2711, R2 -1.7120
x124: Cal. error 0.3930, RMSE 0.2592, R2 -1.4591
x125: Cal. error 0.3880, RMSE 0.2468, R2 -1.2102
x126: Cal. error 0.3880, RMSE 0.2281, R2 -0.8750
x127: Cal. error 0.4460, RMSE 0.2570, R2 -1.3597
x128: Cal. error 0.3350, RMSE 0.1373, R2 0.4034
x129: Cal. error 0.3780, RMSE 0.1617, R2 0.2161
x130: Cal. error 0.3920, RMSE 0.1931, R2 -0.0366
x131: Cal. error 0.3790, RMSE 0.2058, R2 -0.1542
x132: Cal. error 0.3660, RMSE 0.2161, R2 -0.2378
x133: Cal. error 0.3410, RMSE 0.2204, R2 -0.2676
x134: Cal. error 0.3350, RMSE 0.2189, R2 -0.2149
x135: Cal. error 0.3540, RMSE 0.2214, R2 -0.2158
x136: Cal. error 0.3600, RMSE 0.2124, R2 -0.1670
x137: Cal. error 0.3620, RMSE 0.2124, R2 -0.1900
x138: Cal. error 0.3510, RMSE 0.2082, R2 -0.1631
x139: Cal. error 0.3470, RMSE 0.2080, R2 -0.1905
x140: Cal. error 0.3600, RMSE 0.1984, R2 -0.1421
x141: Cal. error 0.3660, RMSE 0.1965, R2 -0.1920
x142: Cal. error 0.3600, RMSE 0.1903, R2 -0.1779
x143: Cal. error 0.3530, RMSE 0.1898, R2 -0.2190
x144: Cal. error 0.3560, RMSE 0.1849, R2 -0.1972
x145: Cal. error 0.3390, RMSE 0.1874, R2 -0.2674
x146: Cal. error 0.3480, RMSE 0.1869, R2 -0.2940
x147: Cal. error 0.3400, RMSE 0.1927, R2 -0.4004
x148: Cal. error 0.3830, RMSE 0.1962, R2 -0.4748
x149: Cal. error 0.3890, RMSE 0.2091, R2 -0.6786
x150: Cal. error 0.3890, RMSE 0.2207, R2 -0.8484
x151: Cal. error 0.3910, RMSE 0.2325, R2 -1.0721
x152: Cal. error 0.3680, RMSE 0.2343, R2 -1.1864
x153: Cal. error 0.3780, RMSE 0.2438, R2 -1.3794
x154: Cal. error 0.3940, RMSE 0.2536, R2 -1.5060
x155: Cal. error 0.3970, RMSE 0.2708, R2 -1.7244
x156: Cal. error 0.4190, RMSE 0.2897, R2 -1.8723
x157: Cal. error 0.4410, RMSE 0.3204, R2 -2.1410
x158: Cal. error 0.4430, RMSE 0.3448, R2 -2.3012
x159: Cal. error 0.4450, RMSE 0.3397, R2 -2.4990
x160: Cal. error 0.4430, RMSE 0.3286, R2 -2.5402
x161: Cal. error 0.4560, RMSE 0.3233, R2 -2.6452
x162: Cal. error 0.4540, RMSE 0.3199, R2 -2.6305
x163: Cal. error 0.4480, RMSE 0.3258, R2 -2.7113
x164: Cal. error 0.4560, RMSE 0.3305, R2 -2.6936
x165: Cal. error 0.4700, RMSE 0.3448, R2 -2.8527
x166: Cal. error 0.4650, RMSE 0.3539, R2 -2.8645
x167: Cal. error 0.4590, RMSE 0.3677, R2 -2.9428
