Calibration metrics:
x96: Cal. error 0.4940, RMSE 0.5880, R2 -12.5602
x97: Cal. error 0.4940, RMSE 0.5928, R2 -12.6906
x98: Cal. error 0.4910, RMSE 0.5981, R2 -12.8202
x99: Cal. error 0.4910, RMSE 0.5989, R2 -12.7159
x100: Cal. error 0.4880, RMSE 0.5997, R2 -12.7083
x101: Cal. error 0.4850, RMSE 0.5977, R2 -12.7354
x102: Cal. error 0.4850, RMSE 0.6064, R2 -12.9823
x103: Cal. error 0.4880, RMSE 0.6122, R2 -13.0291
x104: Cal. error 0.4870, RMSE 0.6138, R2 -13.0551
x105: Cal. error 0.4880, RMSE 0.6158, R2 -13.0697
x106: Cal. error 0.4880, RMSE 0.6219, R2 -13.2105
x107: Cal. error 0.4910, RMSE 0.6238, R2 -13.1713
x108: Cal. error 0.4940, RMSE 0.6264, R2 -13.1690
x109: Cal. error 0.4940, RMSE 0.6298, R2 -13.3053
x110: Cal. error 0.4940, RMSE 0.6362, R2 -13.5750
x111: Cal. error 0.4940, RMSE 0.6395, R2 -13.7311
x112: Cal. error 0.4910, RMSE 0.6380, R2 -13.8003
x113: Cal. error 0.4940, RMSE 0.6366, R2 -13.8566
x114: Cal. error 0.4940, RMSE 0.6375, R2 -13.9986
x115: Cal. error 0.4940, RMSE 0.6306, R2 -13.7678
x116: Cal. error 0.4970, RMSE 0.6192, R2 -13.4031
x117: Cal. error 0.4980, RMSE 0.6075, R2 -12.9550
x118: Cal. error 0.4990, RMSE 0.5981, R2 -12.5528
x119: Cal. error 0.4990, RMSE 0.5853, R2 -12.0068
x120: Cal. error 0.4990, RMSE 0.5726, R2 -11.4482
x121: Cal. error 0.4990, RMSE 0.5659, R2 -11.1705
x122: Cal. error 0.5010, RMSE 0.5612, R2 -10.9089
x123: Cal. error 0.4990, RMSE 0.5532, R2 -10.4982
x124: Cal. error 0.4990, RMSE 0.5380, R2 -9.7952
x125: Cal. error 0.4990, RMSE 0.5155, R2 -8.8295
x126: Cal. error 0.4990, RMSE 0.4863, R2 -7.6910
x127: Cal. error 0.5050, RMSE 0.4670, R2 -6.9500
x128: Cal. error 0.4880, RMSE 0.4389, R2 -5.2361
x129: Cal. error 0.4770, RMSE 0.4790, R2 -6.0519
x130: Cal. error 0.4730, RMSE 0.5307, R2 -7.0434
x131: Cal. error 0.4610, RMSE 0.5362, R2 -7.0699
x132: Cal. error 0.4650, RMSE 0.5456, R2 -7.1653
x133: Cal. error 0.4600, RMSE 0.5553, R2 -7.3561
x134: Cal. error 0.4630, RMSE 0.5583, R2 -7.2447
x135: Cal. error 0.4530, RMSE 0.5652, R2 -7.2988
x136: Cal. error 0.4410, RMSE 0.5448, R2 -6.9702
x137: Cal. error 0.4390, RMSE 0.5306, R2 -6.7895
x138: Cal. error 0.4400, RMSE 0.5128, R2 -6.4532
x139: Cal. error 0.4370, RMSE 0.5080, R2 -6.4980
x140: Cal. error 0.4430, RMSE 0.4852, R2 -6.2101
x141: Cal. error 0.4440, RMSE 0.4732, R2 -6.2889
x142: Cal. error 0.4400, RMSE 0.4600, R2 -6.2386
x143: Cal. error 0.4440, RMSE 0.4629, R2 -6.6111
x144: Cal. error 0.4430, RMSE 0.4591, R2 -6.7327
x145: Cal. error 0.4510, RMSE 0.4677, R2 -7.2485
x146: Cal. error 0.4560, RMSE 0.4720, R2 -7.6084
x147: Cal. error 0.4530, RMSE 0.4895, R2 -8.3961
x148: Cal. error 0.4680, RMSE 0.4968, R2 -8.8135
x149: Cal. error 0.4730, RMSE 0.5127, R2 -9.4611
x150: Cal. error 0.4730, RMSE 0.5239, R2 -9.7849
x151: Cal. error 0.4850, RMSE 0.5340, R2 -10.3181
x152: Cal. error 0.4840, RMSE 0.5232, R2 -10.3130
x153: Cal. error 0.4800, RMSE 0.5280, R2 -10.5982
x154: Cal. error 0.4880, RMSE 0.5330, R2 -10.5258
x155: Cal. error 0.4910, RMSE 0.5526, R2 -10.8535
x156: Cal. error 0.4910, RMSE 0.5708, R2 -10.7022
x157: Cal. error 0.4910, RMSE 0.6054, R2 -10.8315
x158: Cal. error 0.4850, RMSE 0.6375, R2 -10.5657
